text,label
"The war’s toll is staggering: Ukraine faces a $524B rebuild cost with a $9.96B 2025 gap, while Europe, led by Germany’s €600B military plan, ramps up defense. Lives lost, aid wasted—peace talks in Saudi Arabia and India’s potential mediation offer hope. War’s waste is hard to deny.",2
"⚡️Returning abducted Ukrainian children 'confidence building measure,' Waltz says amid peace talks. When asked by CBS about the peace talks in Saudi Arabia, U.S. National Security Adviser Mike Waltz praised the efforts of the Trump administration. Waltz said that the topics of prisoner exchanges and Ukrainian children illegally abducted by Russia will likely be discussed at the peace talks, adding that they will serve as 'confidence-building measures' for negotiations. https://kyivindependent.com/confidence-building-measure-mike-waltz-on-abducted-ukrainian-children/",1
"The Ukraine - Russian War Was Provoked! PRICELESS - MUST WATCH !!! Explaned by Jeffrey Sachs, David Sacks, John Mearsheimer, Douglas Macgregor, Scott Ritter If you still believe that Russia started this conflict in 2022, then you are either corrupt, ignorant, or brainwashed.",0
https://www.theatlantic.com/politics/archive/2025/03/trump-administration-accidentally-texted-me-its-war-plans/682151/ Trump's National Security Advisor Michael Waltz accidentally adds a random journalist to a Signal group chat and discusses top secret war plans on a non secure channel. I can hear the ghostly cry of 2016 wailing in the distance 'but her emails....' 👻👻,1
Trump’s Secretary of Defense put our military in danger by texting a reporter TOP SECRET US War Plans…,1
Nothing says 'diplomatic sincerity' like bombing kids between peace talks. Classic Putin.,0
"Ukraine deserves to lead peace talks, free from outside interference. Trump's history of pro-Russia stances creates a massive conflict of interest. Let's empower Ukraine & Europe to negotiate a lasting peace—their voices are crucial! No more meddling from those with ties to",2
The BBC is normalising bombing hospitals like it's not a war crime.,1
"Paseo Ahumada, verano del 2009, cuando la invasión aún no comenzaba.",1
"Israel no quiere que el mundo sepa sus crímenes, desde el comienzo de la invasión a Gaza han asesinado 170 periodistas Ahora atacan al ganador del Oscar por denunciar en su documental la situación de los palestinos Mientras tanto seguimos esperando la opinión de nuestro gobierno",1
"Breaking | Israeli occupation forces storm the town of Attil, north of Tulkarm, in the northern West Bank.",1
"Ich sehe null in Deutschland, was Hoffnung gibt. Merz wird Kanzler und zieht den Abriss des Landes durch, die paar Prozent Verluste für die CDU und die paar Prozent Zugewinne für die AfD jucken ihn nicht. Hoffnung gibt es nur auf internationaler Ebene: dass Trump und Putin in der Ukraine den Sack zumachen. Das stopft F.Fritze und den anderen Kriegstreibern das Maul.",0
"🇺🇺🇺🇻 Ukrainian Defense Minister Rustem Umerov confirmed Ukraine has begun talks with the U.S. delegation in Riyadh.   The focus: securing a just peace and strengthening Ukraine’s security. Discussions include protecting energy infrastructure and complex military-technical matters, with energy experts and military representatives present.",2
Breaking news that could reshape the world: US and Russia finding common ground in Riyadh over Ukraine peace talks is a monumental step forward. Reviving the Black Sea Grain Initiative under Trump’s proposal shows pragmatism from Putin and a shared will to de-escalate. The ban on energy strikes is a humanitarian win. Could this be the turning point we’ve all been waiting for?,1
"What impudence! 🤦‍♀️At a time when peace talks are underway in the United Arab Emirates, and your husband continues to violate the ceasefire agreement by continuing to shell Russian facilities, you dare to blame Russia... What a piece of crap you are!!!...🤬",0
drama queen straight up walked out and REFUSES for the Ukranian delegation to discuss with Russian delegation in the Saudis Arabia talks the last couple days. He doesn't want Any sort of peace.,0
"I feel like this is getting lost. Marco Rubio has the power to ensure that data/evidence of potential Russian war crimes on abducted Ukrainian children gets to Europol. Instead, he is preventing this.   Why? He won't say.  Let's not let this one drop.  https://newrepublic.com/article/193064/trump-dangerous-enabler-marco-rubio",2
First at the most hated country in the world? Next to Putin? US is not first for anything.,1
